symbol,date,open,high,low,close,adjusted_close,volume
SPY,2024-08-01,552.57,554.87,539.43,543.01,531.811,76428700
AAPL,2024-08-02,219.15,225.6,217.71,219.86,218.1727,105568600
MSFT,2024-08-02,412.49,415.0,404.34,408.49,403.0406,29437900
NVDA,2024-08-02,103.76,108.72,101.37,107.27,107.2183,482027500
SPY,2024-08-02,535.75,536.99,528.6,532.9,521.9095,82789100
AAPL,2024-08-05,199.09,213.5,196.0,209.27,207.6639,119548600
MSFT,2024-08-05,389.17,401.04,385.58,395.15,389.8786,40709238
NVDA,2024-08-05,92.06,103.41,90.69,100.45,100.4016,552842375
SPY,2024-08-05,511.64,523.58,510.27,517.38,506.7096,146267400
AAPL,2024-08-06,205.3,209.99,201.07,207.23,205.6396,69660500
MSFT,2024-08-06,400.0,405.67,398.5,399.61,394.2791,24946529
NVDA,2024-08-06,103.84,107.71,100.55,104.25,104.1998,409012094
SPY,2024-08-06,519.22,529.75,517.87,522.15,511.3812,84826300
AAPL,2024-08-07,206.9,213.64,206.39,209.82,208.2097,63516400
MSFT,2024-08-07,408.635,410.08,397.47,398.43,393.1149,20650910
NVDA,2024-08-07,107.81,108.8,98.69,98.91,98.8623,411440375
SPY,2024-08-07,528.47,531.59,518.05,518.66,507.9632,70698300
AAPL,2024-08-08,213.11,214.2,208.83,213.31,211.6729,47161100
MSFT,2024-08-08,402.44,405.86,399.9407,402.69,397.318,20203029
NVDA,2024-08-08,102.0,105.5,97.52,104.97,104.9194,391910031
SPY,2024-08-08,523.91,531.29,521.84,530.65,519.7059,63276600
AAPL,2024-08-09,212.1,216.78,211.97,216.24,214.5804,42201600
MSFT,2024-08-09,404.03,408.05,402.2624,406.02,400.6036,19276670
NVDA,2024-08-09,105.64,106.6,103.43,104.75,104.6995,290844188
SPY,2024-08-09,529.81,534.51,528.56,532.99,521.9976,45619600
AAPL,2024-08-12,216.07,219.51,215.6,217.53,216.1104,38028100
MSFT,2024-08-12,407.06,408.76,404.2434,406.81,401.3831,16762881
NVDA,2024-08-12,106.32,111.07,106.26,109.02,108.9675,325559906
SPY,2024-08-12,534.21,535.73,530.95,533.27,522.2718,42542100
AAPL,2024-08-13,219.01,221.89,219.01,221.27,219.826,44155300
MSFT,2024-08-13,409.59,414.95,409.57,414.01,408.487,19414270
NVDA,2024-08-13,112.44,116.23,111.58,116.14,116.084,312646688
SPY,2024-08-13,536.53,542.28,536.28,542.04,530.861,52333100
AAPL,2024-08-14,220.57,223.03,219.7,221.72,220.273,41960600
MSFT,2024-08-14,414.8,417.72,412.4456,416.86,411.299,18266980
NVDA,2024-08-14,118.53,118.6,114.07,118.08,118.0231,339246406
SPY,2024-08-14,542.85,544.96,540.12,543.75,532.5357,42446900
AAPL,2024-08-15,224.6,225.35,222.76,224.72,223.2535,46414000
MSFT,2024-08-15,419.8,421.11,417.66,421.03,416.1621,20752141
NVDA,2024-08-15,118.76,123.24,117.47,122.86,122.8008,318086688
SPY,2024-08-15,549.5,553.36,548.88,553.07,541.6635,60846800
AAPL,2024-08-16,223.92,226.83,223.65,226.05,224.5748,44340200
MSFT,2024-08-16,420.6,421.34,417.3,418.47,413.6317,22775590
NVDA,2024-08-16,121.94,125.0,121.18,124.58,124.52,302589875
SPY,2024-08-16,551.42,555.02,551.26,554.31,542.8779,44430700
AAPL,2024-08-19,225.72,225.99,223.04,225.89,224.4158,40687800
MSFT,2024-08-19,418.96,421.75,416.46,421.53,416.6563,15233960
NVDA,2024-08-19,124.28,130.0,123.42,130.0,129.9373,318333594
SPY,2024-08-19,554.73,559.61,553.86,559.61,548.0686,39121800
AAPL,2024-08-20,225.77,227.17,225.45,226.51,225.0318,30299000
MSFT,2024-08-20,421.7,425.86,421.64,424.8,419.8885,16387580
NVDA,2024-08-20,128.4,129.88,125.89,127.25,127.1887,300087406
SPY,2024-08-20,559.15,560.84,557.33,558.7,547.1774,33732300
AAPL,2024-08-21,226.52,227.98,225.05,226.4,224.9225,34765500
MSFT,2024-08-21,424.075,426.4,421.72,424.14,419.2362,16067300
NVDA,2024-08-21,127.315,129.35,126.66,128.5,128.4381,257883594
SPY,2024-08-21,559.77,562.11,554.73,560.62,549.0578,41514600
AAPL,2024-08-22,227.79,228.34,223.9,224.53,223.0647,43695300
MSFT,2024-08-22,424.36,426.7899,414.61,415.55,410.7455,19361900
NVDA,2024-08-22,130.02,130.75,123.1,123.74,123.6804,376189094
SPY,2024-08-22,562.56,563.18,554.98,556.22,544.7485,56121500
AAPL,2024-08-23,225.66,228.22,224.33,226.84,225.3596,38677300
MSFT,2024-08-23,416.98,419.26,412.09,416.79,411.9711,18493779
NVDA,2024-08-23,125.86,129.6,125.22,129.37,129.3077,323230312
SPY,2024-08-23,559.53,563.09,557.29,562.13,550.5366,50639400
AAPL,2024-08-26,226.76,227.28,223.89,227.18,225.6974,30602200
MSFT,2024-08-26,416.365,417.2799,411.34,413.49,408.7093,13152830
NVDA,2024-08-26,129.57,131.26,124.37,126.46,126.3991,331964719
