,Instrument,EXPIR_DATE,PUTCALLIND,STRIKE_PRC,BIDSIZE,BID,ASK,ASKSIZE,TRDPRC_1,HST_CLOSE,HSTCLSDATE,ACVOL_UNS,OPINT_1,OPINTNC,MID_IV,DELTA,GAMMA,THETA,VEGA,RHO
67,SPXn202641000.U,2026-02-20,PUT ,4100,1381,0.15,0.35,917,,0.25,2026-01-26,,2774,-3,66.0171,-0.0007,0.0,-0.0613,0.0461,-0.0036
68,SPXb202641500.U,2026-02-20,CALL,4150,1,2823.3,2830.4,1,,2808.65,2026-01-26,,7,0,105.1851,0.979,0.0,-2.3518,0.9115,2.6833
69,SPXn202641500.U,2026-02-20,PUT ,4150,795,0.2,0.35,395,,0.25,2026-01-26,,2505,-1,65.1099,-0.0008,0.0,-0.0664,0.0507,-0.004
70,SPXb202641750.U,2026-02-20,CALL,4175,1,2798.4,2805.5,1,,2783.75,2026-01-26,,1,0,104.1561,0.9787,0.0,-2.354,0.9204,2.699
71,SPXn202641750.U,2026-02-20,PUT ,4175,1104,0.2,0.4,1312,,0.33,2026-01-26,,888,0,64.8735,-0.0009,0.0,-0.0715,0.0548,-0.0044
72,SPXb202642000.U,2026-02-20,CALL,4200,1,2773.5,2780.6,1,,2758.8,2026-01-26,,4,0,103.1323,0.9785,0.0,-2.3562,0.9295,2.7146
73,SPXn202642000.U,2026-02-20,PUT ,4200,1140,0.2,0.4,982,,0.3,2026-01-26,,6184,1,64.1643,-0.0009,0.0,-0.0714,0.0553,-0.0044
74,SPXb202642250.U,2026-02-20,CALL,4225,1,2748.6,2755.7,1,,2733.85,2026-01-26,,0,0,101.9531,0.9784,0.0,-2.3445,0.9334,2.731
75,SPXn202642250.U,2026-02-20,PUT ,4225,1104,0.2,0.4,800,,0.3,2026-01-26,,1545,1,63.459,-0.0009,0.0,-0.0713,0.0559,-0.0045
76,SPXb202642500.U,2026-02-20,CALL,4250,1,2723.7,2730.8,1,,2708.95,2026-01-26,,0,0,100.9408,0.9781,0.0,-2.3466,0.9426,2.7466
77,SPXn202642500.U,2026-02-20,PUT ,4250,750,0.25,0.4,398,,0.3,2026-01-26,,2825,0,63.1872,-0.001,0.0,-0.0763,0.06,-0.0048
78,SPXb202642750.U,2026-02-20,CALL,4275,1,2698.7,2705.8,1,,2684.05,2026-01-26,,0,0,99.9857,0.9778,0.0,-2.3532,0.9537,2.762
